customer_id,registration_date,age,gender,location,customer_segment,churned
CUST00001,2023-07-27 16:57:17.974292,25,M,East,Premium,0
CUST00002,2024-09-25 16:57:17.974338,26,M,North,Basic,0
CUST00003,2024-03-05 16:57:17.974349,20,M,North,Premium,0
CUST00004,2024-09-15 16:57:17.974357,50,M,South,Basic,0
CUST00005,2023-07-16 16:57:17.974364,62,F,South,Standard,0
CUST00006,2023-09-16 16:57:17.974371,35,M,South,Basic,0
CUST00007,2024-03-05 16:57:17.974379,39,F,South,Premium,0
CUST00008,2024-06-01 16:57:17.974385,24,M,West,Premium,0
CUST00009,2024-05-09 16:57:17.974392,40,F,North,Basic,0
CUST00010,2024-01-27 16:57:17.974404,52,M,West,Premium,1
CUST00011,2023-10-24 16:57:17.974411,36,F,South,Basic,0
CUST00012,2025-03-01 16:57:17.974417,20,M,East,Premium,0
CUST00013,2024-09-15 16:57:17.974423,24,F,East,Standard,0
CUST00014,2023-07-31 16:57:17.974429,41,M,East,Standard,0
CUST00015,2024-10-09 16:57:17.974436,60,F,North,Basic,0
CUST00016,2023-07-31 16:57:17.974442,28,M,South,Standard,0
CUST00017,2024-04-18 16:57:17.974449,35,M,East,Premium,0
CUST00018,2024-09-19 16:57:17.974456,70,M,East,Standard,0
CUST00019,2024-08-10 16:57:17.974462,22,M,East,Premium,0
CUST00020,2023-07-10 16:57:17.974467,49,F,West,Premium,0
CUST00021,2024-08-13 16:57:17.974471,26,M,East,Basic,0
CUST00022,2023-09-21 16:57:17.974474,45,F,East,Premium,0
CUST00023,2024-12-21 16:57:17.974478,50,F,North,Premium,0
CUST00024,2025-01-19 16:57:17.974482,27,M,West,Basic,0
CUST00025,2025-03-07 16:57:17.974486,42,F,West,Basic,1
CUST00026,2024-08-27 16:57:17.974490,53,M,North,Basic,0
CUST00027,2023-11-09 16:57:17.974493,66,F,East,Premium,0
CUST00028,2024-07-15 16:57:17.974497,45,M,West,Premium,0
CUST00029,2024-08-15 16:57:17.974501,50,M,North,Basic,0
CUST00030,2024-07-10 16:57:17.974506,58,M,South,Standard,0
CUST00031,2024-11-27 16:57:17.974509,52,M,East,Standard,0
CUST00032,2025-04-22 16:57:17.974513,25,F,East,Premium,0
CUST00033,2025-03-13 16:57:17.974517,33,M,North,Basic,0
CUST00034,2023-12-31 16:57:17.974521,70,M,South,Premium,0
CUST00035,2023-07-06 16:57:17.974527,48,M,East,Basic,0
CUST00036,2023-08-29 16:57:17.974533,45,M,South,Basic,0
CUST00037,2024-06-26 16:57:17.974539,43,F,West,Basic,0
CUST00038,2024-02-04 16:57:17.974546,25,M,South,Premium,0
CUST00039,2024-05-30 16:57:17.974552,19,M,South,Premium,0
CUST00040,2025-02-28 16:57:17.974562,63,M,South,Premium,0
CUST00041,2025-04-09 16:57:17.974568,39,M,South,Standard,0
CUST00042,2023-06-26 16:57:17.974574,49,M,South,Basic,0
CUST00043,2023-10-05 16:57:17.974580,54,F,South,Standard,0
CUST00044,2024-03-21 16:57:17.974586,30,M,North,Basic,0
CUST00045,2024-02-25 16:57:17.974592,40,F,West,Standard,0
CUST00046,2025-03-17 16:57:17.974598,61,M,North,Standard,0
CUST00047,2024-05-29 16:57:17.974604,69,M,South,Premium,0
CUST00048,2024-10-29 16:57:17.974611,52,F,South,Standard,1
CUST00049,2024-11-05 16:57:17.974619,35,F,South,Premium,0
CUST00050,2024-02-13 16:57:17.974625,69,M,North,Basic,0
CUST00051,2023-11-05 16:57:17.974632,18,M,South,Premium,0
CUST00052,2024-03-21 16:57:17.974638,49,F,South,Standard,0
CUST00053,2025-03-12 16:57:17.974644,28,F,North,Standard,0
CUST00054,2024-08-13 16:57:17.974650,68,F,East,Standard,0
CUST00055,2023-05-29 16:57:17.974656,64,F,South,Premium,0
CUST00056,2024-07-12 16:57:17.974662,31,M,North,Basic,0
CUST00057,2024-06-24 16:57:17.974668,21,M,West,Basic,0
CUST00058,2023-11-15 16:57:17.974674,28,M,North,Premium,0
CUST00059,2025-03-02 16:57:17.974681,56,M,South,Standard,0
CUST00060,2025-01-09 16:57:17.974687,54,M,North,Basic,0
CUST00061,2025-02-17 16:57:17.974694,44,F,East,Premium,0
CUST00062,2023-06-26 16:57:17.974699,63,F,South,Standard,0
CUST00063,2024-04-01 16:57:17.974702,26,F,West,Standard,0
CUST00064,2025-02-26 16:57:17.974706,18,F,North,Premium,0
CUST00065,2023-11-08 16:57:17.974712,31,F,South,Standard,0
CUST00066,2025-03-02 16:57:17.974718,33,F,East,Premium,0
CUST00067,2024-02-18 16:57:17.974721,52,F,North,Basic,0
CUST00068,2023-10-22 16:57:17.974725,37,M,South,Standard,0
CUST00069,2025-01-13 16:57:17.974731,24,M,East,Standard,0
CUST00070,2023-08-31 16:57:17.974735,31,F,South,Basic,0
CUST00071,2023-08-01 16:57:17.974738,34,F,East,Premium,0
CUST00072,2025-02-06 16:57:17.974742,58,F,East,Premium,0
CUST00073,2025-05-08 16:57:17.974746,39,M,East,Premium,0
CUST00074,2024-02-14 16:57:17.974749,53,F,North,Premium,0
CUST00075,2025-02-23 16:57:17.974753,62,M,North,Standard,0
CUST00076,2023-09-23 16:57:17.974757,53,M,West,Premium,0
CUST00077,2025-03-30 16:57:17.974760,37,F,North,Standard,0
CUST00078,2024-10-08 16:57:17.974767,61,M,North,Standard,0
CUST00079,2023-10-16 16:57:17.974775,44,M,South,Premium,0
CUST00080,2024-11-11 16:57:17.974781,44,M,South,Basic,1
CUST00081,2024-06-05 16:57:17.974787,68,F,South,Standard,0
CUST00082,2024-11-29 16:57:17.974794,68,M,West,Premium,0
CUST00083,2024-01-16 16:57:17.974800,32,M,West,Standard,0
CUST00084,2024-07-03 16:57:17.974806,70,M,South,Premium,0
CUST00085,2023-07-06 16:57:17.974812,30,F,East,Standard,0
CUST00086,2025-03-01 16:57:17.974817,67,F,East,Basic,0
CUST00087,2023-12-07 16:57:17.974823,43,F,North,Premium,1
CUST00088,2024-08-17 16:57:17.974833,29,F,North,Premium,0
CUST00089,2023-09-09 16:57:17.974840,45,F,East,Standard,0
